city,target_date,winning_bucket,n_price_points,price_points_json,temperature_2m_ecmwf_ifs025,temperature_2m_previous_day1_ecmwf_ifs025,temperature_2m_previous_day2_ecmwf_ifs025,temperature_2m_previous_day3_ecmwf_ifs025,temperature_2m_previous_day4_ecmwf_ifs025,temperature_2m_gfs_seamless,temperature_2m_previous_day1_gfs_seamless,temperature_2m_previous_day2_gfs_seamless,temperature_2m_previous_day3_gfs_seamless,temperature_2m_previous_day4_gfs_seamless,_schema_version
Tokyo,2026-08-25,34°C,5,"[{""t"": 1787486421, ""p"": 0.325}, {""t"": 1787529621, ""p"": 0.345}, {""t"": 1787572819, ""p"": 0.335}, {""t"": 1787616019, ""p"": 0.39}, {""t"": 1787659221, ""p"": 0.9995}]",35.9,34.3,33.9,32.6,32.2,34.5,33.6,33.3,32.2,32.1,backfill_pilot_v1
Tokyo,2026-08-24,33°C,5,"[{""t"": 1787400023, ""p"": 0.25}, {""t"": 1787443219, ""p"": 0.275}, {""t"": 1787486422, ""p"": 0.34}, {""t"": 1787529623, ""p"": 0.46}, {""t"": 1787572820, ""p"": 0.9995}]",32.6,31.5,30.8,30.5,30.3,32.3,32.1,31.4,31.2,30.6,backfill_pilot_v1
Tokyo,2026-08-23,31°C,5,"[{""t"": 1787313616, ""p"": 0.325}, {""t"": 1787356815, ""p"": 0.33}, {""t"": 1787400016, ""p"": 0.32}, {""t"": 1787443214, ""p"": 0.395}, {""t"": 1787486416, ""p"": 0.9995}]",31.6,30.2,29.7,29.6,30.1,31.5,31.0,31.4,29.1,29.6,backfill_pilot_v1
Tokyo,2026-08-22,31°C,5,"[{""t"": 1787227214, ""p"": 0.34}, {""t"": 1787270417, ""p"": 0.365}, {""t"": 1787313617, ""p"": 0.375}, {""t"": 1787356816, ""p"": 0.385}, {""t"": 1787400017, ""p"": 0.9995}]",31.7,30.7,30.0,29.6,30.6,30.7,30.7,31.0,30.7,30.9,backfill_pilot_v1
Tokyo,2026-08-21,32°C,5,"[{""t"": 1787140818, ""p"": 0.185}, {""t"": 1787184022, ""p"": 0.235}, {""t"": 1787227217, ""p"": 0.245}, {""t"": 1787270420, ""p"": 0.585}, {""t"": 1787313620, ""p"": 0.9995}]",31.5,31.2,30.6,30.4,29.9,30.9,30.7,30.8,31.3,31.6,backfill_pilot_v1
Tokyo,2026-08-20,33°C,5,"[{""t"": 1787054415, ""p"": 0.085}, {""t"": 1787097617, ""p"": 0.085}, {""t"": 1787140815, ""p"": 0.075}, {""t"": 1787184020, ""p"": 0.08}, {""t"": 1787227214, ""p"": 0.9995}]",31.8,30.8,30.7,30.1,29.9,31.3,31.1,31.2,31.6,31.3,backfill_pilot_v1
Tokyo,2026-08-19,32°C,5,"[{""t"": 1786968012, ""p"": 0.25}, {""t"": 1787011223, ""p"": 0.185}, {""t"": 1787054412, ""p"": 0.255}, {""t"": 1787097613, ""p"": 0.405}, {""t"": 1787140811, ""p"": 0.9995}]",31.5,30.4,30.7,30.1,30.7,31.8,31.5,31.7,32.0,31.7,backfill_pilot_v1
Tokyo,2026-08-18,31°C,5,"[{""t"": 1786881618, ""p"": 0.365}, {""t"": 1786924819, ""p"": 0.395}, {""t"": 1786968018, ""p"": 0.345}, {""t"": 1787011229, ""p"": 0.45}, {""t"": 1787054417, ""p"": 0.9995}]",30.9,29.5,29.8,29.9,29.9,31.0,30.7,31.3,31.2,31.4,backfill_pilot_v1
Tokyo,2026-08-17,29°C,4,"[{""t"": 1786838420, ""p"": 0.275}, {""t"": 1786881621, ""p"": 0.305}, {""t"": 1786924821, ""p"": 0.26}, {""t"": 1786968020, ""p"": 0.9995}]",29.9,29.0,28.9,30.1,28.7,30.2,30.5,28.9,30.5,28.9,backfill_pilot_v1
Tokyo,2026-08-16,26°C,5,"[{""t"": 1786708826, ""p"": 0.0055}, {""t"": 1786752020, ""p"": 0.0075}, {""t"": 1786795221, ""p"": 0.0095}, {""t"": 1786838422, ""p"": 0.044}, {""t"": 1786881623, ""p"": 0.998}]",25.9,26.2,27.2,29.2,28.3,27.7,28.8,29.9,30.2,29.7,backfill_pilot_v1
Tokyo,2026-08-15,29°C,5,"[{""t"": 1786622415, ""p"": 0.375}, {""t"": 1786665615, ""p"": 0.38}, {""t"": 1786708818, ""p"": 0.26}, {""t"": 1786752014, ""p"": 0.215}, {""t"": 1786795214, ""p"": 0.9995}]",28.6,30.1,28.6,28.6,28.7,30.7,30.6,30.3,30.8,30.6,backfill_pilot_v1
Tokyo,2026-08-14,31°C,5,"[{""t"": 1786536024, ""p"": 0.035}, {""t"": 1786579221, ""p"": 0.025}, {""t"": 1786622421, ""p"": 0.015}, {""t"": 1786665621, ""p"": 0.007}, {""t"": 1786708826, ""p"": 0.9995}]",28.9,26.2,28.2,27.2,26.8,29.8,30.2,30.8,30.6,30.6,backfill_pilot_v1
Tokyo,2026-08-13,28°C,5,"[{""t"": 1786449609, ""p"": 0.285}, {""t"": 1786492813, ""p"": 0.33}, {""t"": 1786536017, ""p"": 0.345}, {""t"": 1786579217, ""p"": 0.4}, {""t"": 1786622416, ""p"": 0.9995}]",27.7,26.5,28.1,27.4,27.9,30.6,30.8,30.4,30.3,31.9,backfill_pilot_v1
Tokyo,2026-08-12,29°C,5,"[{""t"": 1786363212, ""p"": 0.19}, {""t"": 1786406422, ""p"": 0.06}, {""t"": 1786449610, ""p"": 0.06}, {""t"": 1786492813, ""p"": 0.06}, {""t"": 1786536019, ""p"": 0.9995}]",26.7,25.5,24.8,25.6,28.1,28.8,26.4,26.5,30.7,28.6,backfill_pilot_v1
