timestamp_utc,city,target_date,ecmwf_max_c,gfs_max_c,predicted_bucket,polymarket_price,all_bucket_prices,snapshot_id,lead_time_hours,model_spread_c,abs_model_spread_c,ecmwf_run_utc,gfs_run_utc,market_implied_temp_c,market_implied_temp_used_open_bucket_approx,market_vs_ecmwf_c,market_vs_gfs_c,ecmwf_bucket,ecmwf_bucket_probability,gfs_bucket,gfs_bucket_probability,market_modal_bucket,market_modal_bucket_price,ecmwf_change_c,gfs_change_c,market_implied_change_c,data_quality
2026-08-15 09:15:27,Hong Kong,2026-08-15,30.7,31.5,31°C,0.9975,"{""27°C or below"": 0.0005, ""28°C"": 0.0005, ""29°C"": 0.0005, ""30°C"": 0.0005, ""31°C"": 0.9975, ""32°C"": 0.0015, ""33°C"": 0.0015, ""34°C"": 0.0005, ""35°C"": 0.0005, ""36°C"": 0.0005, ""37°C or higher"": 0.0005}",843aacb8,-17.26,-0.8,0.8,,,31.01,True,0.31,-0.49,31°C,0.9975,32°C,0.0015,31°C,0.9975,-0.4,-0.8,,IMPLIED_TEMP_USED_OPEN_BUCKET_APPROX
2026-08-15 09:15:27,Tokyo,2026-08-15,28.5,30.5,28°C,0.0005,"{""24°C or below"": 0.0005, ""25°C"": 0.0005, ""26°C"": 0.0005, ""27°C"": 0.0005, ""28°C"": 0.0005, ""29°C"": 0.9995, ""30°C"": 0.0005, ""31°C"": 0.0005, ""32°C"": 0.0005, ""33°C"": 0.0005, ""34°C or higher"": 0.0005}",843aacb8,-18.26,-2.0,2.0,,,29.0,True,0.5,-1.5,28°C,0.0005,30°C,0.0005,29°C,0.9995,2.0,0.3,,IMPLIED_TEMP_USED_OPEN_BUCKET_APPROX
2026-08-15 09:15:27,Shanghai,2026-08-15,30.7,30.9,31°C,0.9985,"{""25°C or below"": 0.0005, ""26°C"": 0.0005, ""27°C"": 0.0005, ""28°C"": 0.0005, ""29°C"": 0.0005, ""30°C"": 0.0005, ""31°C"": 0.9985, ""32°C"": 0.0015, ""33°C"": 0.0005, ""34°C"": 0.0005, ""35°C or higher"": 0.0005}",843aacb8,-17.26,-0.2,0.2,,,31.0,True,0.3,0.1,31°C,0.9985,31°C,0.9985,31°C,0.9985,1.3,2.1,,IMPLIED_TEMP_USED_OPEN_BUCKET_APPROX
2026-08-15 09:15:27,Qingdao,2026-08-15,31.1,30.3,31°C,0.9965,"{""33°C"": 0.0005, ""34°C"": 0.0005, ""35°C or higher"": 0.0005, ""32°C"": 0.0045, ""25°C or below"": 0.0005, ""26°C"": 0.0005, ""27°C"": 0.0005, ""28°C"": 0.0005, ""29°C"": 0.0005, ""30°C"": 0.0005, ""31°C"": 0.9965}",843aacb8,-17.26,0.8,0.8,,,31.0,True,-0.1,0.7,31°C,0.9965,30°C,0.0005,31°C,0.9965,-0.9,-1.2,,IMPLIED_TEMP_USED_OPEN_BUCKET_APPROX
2026-08-15 09:15:27,Seoul,2026-08-15,28.2,25.2,28°C,0.999,"{""34°C or higher"": 0.0005, ""24°C or below"": 0.0005, ""25°C"": 0.0005, ""26°C"": 0.0005, ""27°C"": 0.0005, ""28°C"": 0.999, ""29°C"": 0.0005, ""30°C"": 0.0005, ""31°C"": 0.0005, ""32°C"": 0.0005, ""33°C"": 0.0005}",843aacb8,-18.26,3.0,3.0,,,28.01,True,-0.19,2.81,28°C,0.999,25°C,0.0005,28°C,0.999,-0.1,-2.6,,IMPLIED_TEMP_USED_OPEN_BUCKET_APPROX
2026-08-15 09:15:27,Guangzhou,2026-08-15,32.8,35.3,33°C,0.0005,"{""29°C or below"": 0.0005, ""30°C"": 0.0005, ""31°C"": 0.0005, ""32°C"": 0.0005, ""33°C"": 0.0005, ""34°C"": 0.0005, ""35°C"": 0.9985, ""36°C"": 0.0025, ""37°C"": 0.0005, ""38°C"": 0.0005, ""39°C or higher"": 0.0005}",843aacb8,-17.26,-2.5,2.5,,,35.0,True,2.2,-0.3,33°C,0.0005,35°C,0.9985,35°C,0.9985,-0.2,-1.4,,IMPLIED_TEMP_USED_OPEN_BUCKET_APPROX
2026-08-15 09:15:27,Shenzhen,2026-08-15,31.2,33.5,31°C,0.0005,"{""33°C"": 0.0055, ""31°C"": 0.0005, ""32°C"": 0.995, ""36°C"": 0.0005, ""37°C or higher"": 0.0005, ""27°C or below"": 0.0005, ""35°C"": 0.0005, ""29°C"": 0.0005, ""28°C"": 0.0005, ""30°C"": 0.0005, ""34°C"": 0.0015}",843aacb8,-17.26,-2.3,2.3,,,32.01,True,0.81,-1.49,31°C,0.0005,34°C,0.0015,32°C,0.995,0.1,-0.8,,IMPLIED_TEMP_USED_OPEN_BUCKET_APPROX
2026-08-15 09:15:27,New York,2026-08-15,28.6,28.9,82-83°F,0.535,"{""75°F or below"": 0.0005, ""76-77°F"": 0.0045, ""78-79°F"": 0.016, ""80-81°F"": 0.135, ""82-83°F"": 0.535, ""84-85°F"": 0.305, ""86-87°F"": 0.025, ""88-89°F"": 0.0055, ""90-91°F"": 0.005, ""92-93°F"": 0.0005, ""94°F or higher"": 0.0005}",843aacb8,-5.26,-0.3,0.3,,,28.29,True,-0.31,-0.61,82-83°F,0.535,84-85°F,0.305,82-83°F,0.535,,,,IMPLIED_TEMP_USED_OPEN_BUCKET_APPROX
2026-08-15 09:15:27,Chicago,2026-08-15,26.5,24.6,80-81°F,0.28,"{""75°F or below"": 0.0195, ""76-77°F"": 0.0585, ""78-79°F"": 0.495, ""80-81°F"": 0.28, ""82-83°F"": 0.145, ""84-85°F"": 0.035, ""86-87°F"": 0.004, ""88-89°F"": 0.0005, ""90-91°F"": 0.0005, ""92-93°F"": 0.0005, ""94°F or higher"": 0.0005}",843aacb8,-4.26,1.9,1.9,,,26.48,True,-0.02,1.88,80-81°F,0.28,76-77°F,0.0585,78-79°F,0.495,,,,IMPLIED_TEMP_USED_OPEN_BUCKET_APPROX
2026-08-15 09:15:27,Miami,2026-08-15,32.9,32.5,90-91°F,0.09,"{""79°F or below"": 0.0005, ""80-81°F"": 0.0005, ""82-83°F"": 0.0005, ""84-85°F"": 0.0005, ""86-87°F"": 0.0055, ""88-89°F"": 0.0015, ""90-91°F"": 0.09, ""92-93°F"": 0.655, ""94-95°F"": 0.225, ""96-97°F"": 0.0085, ""98°F or higher"": 0.002}",843aacb8,-5.26,0.4,0.4,,,33.76,True,0.86,1.26,90-91°F,0.09,90-91°F,0.09,92-93°F,0.655,,,,IMPLIED_TEMP_USED_OPEN_BUCKET_APPROX
